State/Country,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,,avg
Johor,3.5,2.9,2.4,2.7,2.6,2.9,2.8,2.9,2.8,3.5,,2.9
Kedah,2,2.3,2.8,3.3,3.6,3.8,3.6,4,4,4.2,,3.36
Kelantan,3.1,3,3.1,2.9,3.1,3.4,3.4,3.3,3.3,4.3,,3.29
Melaka,0.7,0.5,0.7,0.9,1,0.9,1,1.1,1.1,2.2,,1.01
Negeri Sembilan,3,3,3.1,3,3.1,2.7,2.8,3,3.1,3.8,,3.06
Pahang,2.6,2.7,2.8,2.7,2.9,2.6,2.9,2.6,2.9,3.1,,2.78
Pulau Pinang,2.6,3,3.8,3.4,3.2,3.4,3.7,3.3,3.4,3.5,,3.33
Perak,4,3.9,3.7,3.3,2.9,2.9,3.5,3.4,3.3,4.8,,3.57
Perlis,1.9,2,1.7,1.6,1.6,2.1,2.1,2.2,2,4.3,,2.15
Selangor,5.6,5.6,5.3,4.9,5,5.4,5.6,5.8,5.8,4.3,,5.33
Terengganu,4.1,3.5,3.7,3.1,3.5,3.3,3,3.2,3.1,4.1,,3.46
Sabah,2.4,2.3,2.4,2,2.4,3.2,2.8,2.8,2.9,8,,3.12
Sarawak,3.2,3,3.4,4.1,4,4.2,4.5,4.8,3.5,4.3,,3.9
Kuala Lumpur,4.2,4.6,4.1,5.1,5,7.8,8.5,7.1,6.9,4,,5.73
Labuan,3,2.7,3.3,2.9,3.3,3.3,3.1,2.4,2.6,7.2,,3.38
Putrajaya,1.1,1.5,1.2,1.2,1,1.7,1.5,1.3,1.2,1.5,,1.32